name,play
FIRST LORD,AS YOU LIKE IT
FIRST SENATOR,TWO BRITISH CAPTAINS
VARRIUS,THE TRAGEDY OF ANTONY AND CLEOPATRA
THIRD GUARD,THE TRAGEDY OF ANTONY AND CLEOPATRA
LUCE,THE COMEDY OF ERRORS
FIRST SOLDIER,TWO VOLSCIAN GUARDS
PHILARIO,TWO BRITISH CAPTAINS
POSTHUMUS,TWO BRITISH CAPTAINS
FIRST WATCH,TWO VOLSCIAN GUARDS
AUDREY,AS YOU LIKE IT
ALL,TWO VOLSCIAN GUARDS
YOUNG MARTIUS,TWO VOLSCIAN GUARDS
SECOND OFFICER,TWO VOLSCIAN GUARDS
CLOWN,THE TRAGEDY OF ANTONY AND CLEOPATRA
SECOND CONSPIRATOR,TWO VOLSCIAN GUARDS
GUIDERIUS,TWO BRITISH CAPTAINS
SENATOR,TWO VOLSCIAN GUARDS
MESSENGER,VENUS AND ADONIS
SECOND SOLDIER,THE TRAGEDY OF ANTONY AND CLEOPATRA
BELARIUS,TWO BRITISH CAPTAINS
PHOEBE,AS YOU LIKE IT
DUKE,THE COMEDY OF ERRORS
FIRST SERVINGMAN,TWO VOLSCIAN GUARDS
LORDS,TWO VOLSCIAN GUARDS
STEWARD,VENUS AND ADONIS
CITIZENS,TWO VOLSCIAN GUARDS
FIRST CONSPIRATOR,TWO VOLSCIAN GUARDS
FIRST WATCH,THE TRAGEDY OF ANTONY AND CLEOPATRA
FIRST PAGE,AS YOU LIKE IT
PHILO,THE TRAGEDY OF ANTONY AND CLEOPATRA
ANTIPHOLUS OF SYRACUSE,THE COMEDY OF ERRORS
VOLUMNIA,TWO VOLSCIAN GUARDS
CAESAR,THE TRAGEDY OF ANTONY AND CLEOPATRA
DUKE FREDERICK,AS YOU LIKE IT
SECOND GENTLEMAN,TWO BRITISH CAPTAINS
LUCIUS,TWO BRITISH CAPTAINS
DUKE,VENUS AND ADONIS
DEMETRIUS,THE TRAGEDY OF ANTONY AND CLEOPATRA
CHARMIAN,THE TRAGEDY OF ANTONY AND CLEOPATRA
QUEEN,TWO BRITISH CAPTAINS
THIRD MESSENGER,THE TRAGEDY OF ANTONY AND CLEOPATRA
