character,text,act,scene,line_number,play
THE DUKE OF FLORENCE,"BERTRAM, Count of Rossillon.",ACT V,SCENE III,2909,VENUS AND ADONIS
THE DUKE OF FLORENCE,"LAFEW, an old Lord.",ACT V,SCENE III,2910,VENUS AND ADONIS
THE DUKE OF FLORENCE,"PAROLLES, a follower of Bertram.",ACT V,SCENE III,2911,VENUS AND ADONIS
THE DUKE OF FLORENCE,"Several young French Lords, that serve with Bertram in the Florentine",ACT V,SCENE III,2912,VENUS AND ADONIS
THE DUKE OF FLORENCE,War.,ACT V,SCENE III,2913,VENUS AND ADONIS
THE DUKE OF FLORENCE,"RYNALDO, servant to the Countess of Rossillon.",ACT V,SCENE III,2914,VENUS AND ADONIS
THE DUKE OF FLORENCE,"Clown, servant to the Countess of Rossillon.",ACT V,SCENE III,2915,VENUS AND ADONIS
THE DUKE OF FLORENCE,"A Page, servant to the Countess of Rossillon.",ACT V,SCENE III,2916,VENUS AND ADONIS
THE DUKE OF FLORENCE,"COUNTESS OF ROSSILLON, mother to Bertram.",ACT V,SCENE III,2917,VENUS AND ADONIS
THE DUKE OF FLORENCE,"HELENA, a Gentlewoman protected by the Countess.",ACT V,SCENE III,2918,VENUS AND ADONIS
THE DUKE OF FLORENCE,An old WIDOW of Florence.,ACT V,SCENE III,2919,VENUS AND ADONIS
THE DUKE OF FLORENCE,"DIANA, daughter to the Widow.",ACT V,SCENE III,2920,VENUS AND ADONIS
THE DUKE OF FLORENCE,"VIOLENTA, neighbour and friend to the Widow.",ACT V,SCENE III,2921,VENUS AND ADONIS
THE DUKE OF FLORENCE,"MARIANA, neighbour and friend to the Widow.",ACT V,SCENE III,2922,VENUS AND ADONIS
THE DUKE OF FLORENCE,"Lords attending on the KING; Officers; Soldiers, &c., French and",ACT V,SCENE III,2924,VENUS AND ADONIS
THE DUKE OF FLORENCE,Florentine.,ACT V,SCENE III,2925,VENUS AND ADONIS
THE DUKE OF FLORENCE,"SCENE: Partly in France, and partly in Tuscany.",ACT V,SCENE III,2927,VENUS AND ADONIS
THE DUKE OF FLORENCE,"Enter Bertram, the Countess of Rossillon, Helena, and Lafew, all in",ACT I,SCENE I,2934,VENUS AND ADONIS
THE DUKE OF FLORENCE,black.,ACT I,SCENE I,2935,VENUS AND ADONIS
COUNTESS,"In delivering my son from me, I bury a second husband.",ACT I,SCENE I,2938,VENUS AND ADONIS
BERTRAM,"And I in going, madam, weep o’er my father’s death anew; but I must",ACT I,SCENE I,2941,VENUS AND ADONIS
BERTRAM,"attend his majesty’s command, to whom I am now in ward, evermore in",ACT I,SCENE I,2942,VENUS AND ADONIS
BERTRAM,subjection.,ACT I,SCENE I,2943,VENUS AND ADONIS
LAFEW,"You shall find of the king a husband, madam; you, sir, a father. He",ACT I,SCENE I,2946,VENUS AND ADONIS
LAFEW,"that so generally is at all times good, must of necessity hold his",ACT I,SCENE I,2947,VENUS AND ADONIS
LAFEW,"virtue to you, whose worthiness would stir it up where it wanted,",ACT I,SCENE I,2948,VENUS AND ADONIS
LAFEW,rather than lack it where there is such abundance.,ACT I,SCENE I,2949,VENUS AND ADONIS
COUNTESS,What hope is there of his majesty’s amendment?,ACT I,SCENE I,2952,VENUS AND ADONIS
LAFEW,"He hath abandon’d his physicians, madam; under whose practices he hath",ACT I,SCENE I,2955,VENUS AND ADONIS
LAFEW,"persecuted time with hope, and finds no other advantage in the process",ACT I,SCENE I,2956,VENUS AND ADONIS
LAFEW,but only the losing of hope by time.,ACT I,SCENE I,2957,VENUS AND ADONIS
COUNTESS,"This young gentlewoman had a father—O that “had!”, how sad a passage",ACT I,SCENE I,2960,VENUS AND ADONIS
COUNTESS,’tis!—whose skill was almost as great as his honesty; had it stretch’d,ACT I,SCENE I,2961,VENUS AND ADONIS
COUNTESS,"so far, would have made nature immortal, and death should have play for",ACT I,SCENE I,2962,VENUS AND ADONIS
COUNTESS,lack of work. Would for the king’s sake he were living! I think it,ACT I,SCENE I,2963,VENUS AND ADONIS
COUNTESS,would be the death of the king’s disease.,ACT I,SCENE I,2964,VENUS AND ADONIS
LAFEW,"How called you the man you speak of, madam?",ACT I,SCENE I,2967,VENUS AND ADONIS
COUNTESS,"He was famous, sir, in his profession, and it was his great right to be",ACT I,SCENE I,2970,VENUS AND ADONIS
COUNTESS,so: Gerard de Narbon.,ACT I,SCENE I,2971,VENUS AND ADONIS
LAFEW,"He was excellent indeed, madam; the king very lately spoke of him",ACT I,SCENE I,2974,VENUS AND ADONIS
LAFEW,"admiringly, and mourningly; he was skilful enough to have liv’d still,",ACT I,SCENE I,2975,VENUS AND ADONIS
LAFEW,if knowledge could be set up against mortality.,ACT I,SCENE I,2976,VENUS AND ADONIS
BERTRAM,"What is it, my good lord, the king languishes of?",ACT I,SCENE I,2979,VENUS AND ADONIS
LAFEW,"A fistula, my lord.",ACT I,SCENE I,2982,VENUS AND ADONIS
BERTRAM,I heard not of it before.,ACT I,SCENE I,2985,VENUS AND ADONIS
LAFEW,I would it were not notorious. Was this gentlewoman the daughter of,ACT I,SCENE I,2988,VENUS AND ADONIS
LAFEW,Gerard de Narbon?,ACT I,SCENE I,2989,VENUS AND ADONIS
COUNTESS,"His sole child, my lord, and bequeathed to my overlooking. I have those",ACT I,SCENE I,2992,VENUS AND ADONIS
COUNTESS,hopes of her good that her education promises her dispositions she,ACT I,SCENE I,2993,VENUS AND ADONIS
COUNTESS,"inherits, which makes fair gifts fairer; for where an unclean mind",ACT I,SCENE I,2994,VENUS AND ADONIS
COUNTESS,"carries virtuous qualities, there commendations go with pity, they are",ACT I,SCENE I,2995,VENUS AND ADONIS
COUNTESS,virtues and traitors too. In her they are the better for their,ACT I,SCENE I,2996,VENUS AND ADONIS
COUNTESS,"simpleness; she derives her honesty, and achieves her goodness.",ACT I,SCENE I,2997,VENUS AND ADONIS
