title,start_line,end_line
TWO VOLSCIAN GUARDS,22174,28615
THE COMEDY OF ERRORS,18904,22104
THE TRAGEDY OF ANTONY AND CLEOPATRA,7825,14465
AS YOU LIKE IT,14466,18903
VENUS AND ADONIS,79,7824
THE FIRST PART OF KING HENRY THE FOURTH,41133,45939
COUNTESS OF AUVERGNE,56170,60711
TWO BRITISH CAPTAINS,28617,34434
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",34435,41132
THE LIFE OF KING HENRY THE FIFTH,51136,56081
THE SECOND PART OF KING HENRY THE FOURTH,45940,51135
THE LIFE AND DEATH OF KING JOHN,76155,80254
SIR HUMPHREY STAFFORD,60797,65893
THE TRAGEDY OF KING LEAR,84902,96018
SIR JOHN SOMERVILLE,65968,71015
SIR ANTHONY DENNY,71094,76154
THE TRAGEDY OF JULIUS CAESAR,80255,84901
THE DUKE OF VENICE,105098,109223
MUCH ADO ABOUT NOTHING,117532,122131
THE TRAGEDY OF MACBETH,96019,100168
SIR JOHN FALSTAFF,109270,117531
MEASURE FOR MEASURE,100169,105052
THE TAMING OF THE SHREW,148636,153547
DUCHESS OF YORK,132634,136893
THE TRAGEDY OF ROMEO AND JULIET,143369,148635
"PERICLES, PRINCE OF TYRE",128414,132565
DUKE OF VENICE,122169,128413
SHERIFF OF WILTSHIRE,136985,143368
THE TWO GENTLEMEN OF VERONA,176586,180836
THE LIFE OF TIMON OF ATHENS,157340,161760
MASTER OF A SHIP,153548,157339
THE TRAGEDY OF TITUS ANDRONICUS,161761,165885
TROILUS AND CRESSIDA,165886,176585
THE TWO NOBLE KINSMEN,180837,191745
