play,act,scene,start_line,end_line
VENUS AND ADONIS,ACT V,SCENE III,2909,2931
VENUS AND ADONIS,ACT I,SCENE I,2934,3272
VENUS AND ADONIS,ACT I,SCENE II,3275,3403
VENUS AND ADONIS,ACT I,SCENE III,3406,3787
VENUS AND ADONIS,ACT II,SCENE I,3790,4156
VENUS AND ADONIS,ACT II,SCENE II,4159,4273
VENUS AND ADONIS,ACT II,SCENE III,4276,4796
VENUS AND ADONIS,ACT II,SCENE IV,4799,4900
VENUS AND ADONIS,ACT II,SCENE V,4903,5093
VENUS AND ADONIS,ACT III,SCENE I,5096,5141
VENUS AND ADONIS,ACT III,SCENE II,5144,5372
VENUS AND ADONIS,ACT III,SCENE III,5375,5401
VENUS AND ADONIS,ACT III,SCENE IV,5404,5461
VENUS AND ADONIS,ACT III,SCENE V,5464,5681
VENUS AND ADONIS,ACT III,SCENE VI,5684,5862
VENUS AND ADONIS,ACT III,SCENE VII,5865,5943
VENUS AND ADONIS,ACT IV,SCENE I,5946,6128
VENUS AND ADONIS,ACT IV,SCENE II,6131,6262
VENUS AND ADONIS,ACT IV,SCENE III,6265,6788
VENUS AND ADONIS,ACT IV,SCENE IV,6791,6844
VENUS AND ADONIS,ACT IV,SCENE V,6847,7011
VENUS AND ADONIS,ACT V,SCENE I,7014,7096
VENUS AND ADONIS,ACT V,SCENE II,7099,7185
VENUS AND ADONIS,ACT V,SCENE III,7188,7830
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT I,SCENE I,7978,8091
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT I,SCENE II,8094,8497
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT I,SCENE III,8500,8712
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT I,SCENE IV,8715,8843
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT I,SCENE V,8846,9010
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE I,9013,9106
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE II,9109,9579
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE III,9582,9670
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE IV,9673,9704
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE V,9707,9995
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE VI,9998,10295
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT II,SCENE VII,10298,10616
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE I,10619,10678
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE II,10681,10847
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE III,10850,11002
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE IV,11005,11059
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE V,11062,11113
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE VI,11116,11288
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE VII,11291,11482
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE VIII,11485,11500
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE IX,11503,11512
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE X,11515,11601
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE XI,11604,11749
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE XII,11752,11827
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT III,SCENE XIII,11830,12235
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE I,12238,12266
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE II,12269,12367
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE III,12370,12462
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE IV,12465,12561
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE V,12564,12614
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE VI,12617,12693
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE VII,12696,12747
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE VIII,12750,12810
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE IX,12813,12897
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE X,12900,12919
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE XI,12922,12931
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE XII,12934,13013
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE XIII,13016,13037
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE XIV,13040,13351
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT IV,SCENE XV,13354,13536
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT V,SCENE I,13539,13691
THE TRAGEDY OF ANTONY AND CLEOPATRA,ACT V,SCENE II,13694,14473
AS YOU LIKE IT,ACT I,SCENE I,14554,14778
AS YOU LIKE IT,ACT I,SCENE II,14781,15267
AS YOU LIKE IT,ACT I,SCENE III,15270,15512
AS YOU LIKE IT,ACT II,SCENE I,15516,15611
AS YOU LIKE IT,ACT II,SCENE II,15614,15646
AS YOU LIKE IT,ACT II,SCENE III,15649,15749
AS YOU LIKE IT,ACT II,SCENE IV,15752,15923
AS YOU LIKE IT,ACT II,SCENE V,15926,16023
AS YOU LIKE IT,ACT II,SCENE VI,16026,16046
AS YOU LIKE IT,ACT II,SCENE VII,16049,16350
AS YOU LIKE IT,ACT III,SCENE I,16354,16381
AS YOU LIKE IT,ACT III,SCENE II,16384,17029
AS YOU LIKE IT,ACT III,SCENE III,17032,17181
AS YOU LIKE IT,ACT III,SCENE IV,17184,17287
AS YOU LIKE IT,ACT III,SCENE V,17290,17492
AS YOU LIKE IT,ACT IV,SCENE I,17496,17836
AS YOU LIKE IT,ACT IV,SCENE II,17839,17874
AS YOU LIKE IT,ACT IV,SCENE III,17877,18178
AS YOU LIKE IT,ACT V,SCENE I,18182,18300
AS YOU LIKE IT,ACT V,SCENE II,18303,18501
AS YOU LIKE IT,ACT V,SCENE III,18504,18577
AS YOU LIKE IT,ACT V,SCENE IV,18580,18911
THE COMEDY OF ERRORS,ACT I,SCENE I,18967,19149
THE COMEDY OF ERRORS,ACT I,SCENE II,19152,19321
THE COMEDY OF ERRORS,ACT II,SCENE I,19324,19524
THE COMEDY OF ERRORS,ACT II,SCENE II,19527,19910
THE COMEDY OF ERRORS,ACT III,SCENE I,19913,20172
THE COMEDY OF ERRORS,ACT III,SCENE II,20175,20485
THE COMEDY OF ERRORS,ACT IV,SCENE I,20488,20695
THE COMEDY OF ERRORS,ACT IV,SCENE II,20698,20843
THE COMEDY OF ERRORS,ACT IV,SCENE III,20846,20995
THE COMEDY OF ERRORS,ACT IV,SCENE IV,20998,21349
THE COMEDY OF ERRORS,ACT V,SCENE I,21352,22112
TWO VOLSCIAN GUARDS,ACT I,SCENE I,22194,22675
TWO VOLSCIAN GUARDS,ACT I,SCENE II,22678,22749
TWO VOLSCIAN GUARDS,ACT I,SCENE III,22752,22940
TWO VOLSCIAN GUARDS,ACT I,SCENE IV,22943,23103
TWO VOLSCIAN GUARDS,ACT I,SCENE V,23106,23169
TWO VOLSCIAN GUARDS,ACT I,SCENE VI,23172,23340
TWO VOLSCIAN GUARDS,ACT I,SCENE VII,23343,23362
TWO VOLSCIAN GUARDS,ACT I,SCENE VIII,23365,23403
TWO VOLSCIAN GUARDS,ACT I,SCENE IX,23406,23561
TWO VOLSCIAN GUARDS,ACT I,SCENE X,23564,23625
TWO VOLSCIAN GUARDS,ACT II,SCENE I,23629,24097
TWO VOLSCIAN GUARDS,ACT II,SCENE II,24100,24378
TWO VOLSCIAN GUARDS,ACT II,SCENE III,24381,24854
TWO VOLSCIAN GUARDS,ACT III,SCENE I,24858,25616
TWO VOLSCIAN GUARDS,ACT III,SCENE II,25619,25888
TWO VOLSCIAN GUARDS,ACT III,SCENE III,25891,26203
TWO VOLSCIAN GUARDS,ACT IV,SCENE I,26207,26298
TWO VOLSCIAN GUARDS,ACT IV,SCENE II,26301,26444
TWO VOLSCIAN GUARDS,ACT IV,SCENE III,26447,26530
TWO VOLSCIAN GUARDS,ACT IV,SCENE IV,26533,26586
TWO VOLSCIAN GUARDS,ACT IV,SCENE V,26589,27000
TWO VOLSCIAN GUARDS,ACT IV,SCENE VI,27003,27365
TWO VOLSCIAN GUARDS,ACT IV,SCENE VII,27368,27449
TWO VOLSCIAN GUARDS,ACT V,SCENE I,27453,27588
TWO VOLSCIAN GUARDS,ACT V,SCENE II,27591,27772
TWO VOLSCIAN GUARDS,ACT V,SCENE III,27775,28100
TWO VOLSCIAN GUARDS,ACT V,SCENE IV,28103,28219
TWO VOLSCIAN GUARDS,ACT V,SCENE V,28222,28239
TWO VOLSCIAN GUARDS,ACT V,SCENE VI,28242,28557
TWO VOLSCIAN GUARDS,ACT II,SCENE II,28569,28569
TWO VOLSCIAN GUARDS,ACT II,SCENE III,28571,28571
TWO VOLSCIAN GUARDS,ACT V,SCENE II,28594,28594
TWO VOLSCIAN GUARDS,ACT V,SCENE V,28602,28639
TWO BRITISH CAPTAINS,ACT I,SCENE I,28646,28763
TWO BRITISH CAPTAINS,ACT I,SCENE II,28766,29007
TWO BRITISH CAPTAINS,ACT I,SCENE III,29010,29085
TWO BRITISH CAPTAINS,ACT I,SCENE IV,29088,29169
TWO BRITISH CAPTAINS,ACT I,SCENE V,29172,29417
TWO BRITISH CAPTAINS,ACT I,SCENE VI,29420,29572
TWO BRITISH CAPTAINS,ACT I,SCENE VII,29575,29941
TWO BRITISH CAPTAINS,ACT II,SCENE I,29945,30057
TWO BRITISH CAPTAINS,ACT II,SCENE II,30059,30140
TWO BRITISH CAPTAINS,ACT II,SCENE III,30142,30450
TWO BRITISH CAPTAINS,ACT II,SCENE IV,30453,30767
TWO BRITISH CAPTAINS,ACT II,SCENE V,30770,30815
TWO BRITISH CAPTAINS,ACT III,SCENE I,30819,30944
TWO BRITISH CAPTAINS,ACT III,SCENE II,30947,31060
TWO BRITISH CAPTAINS,ACT III,SCENE III,31063,31199
TWO BRITISH CAPTAINS,ACT III,SCENE IV,31202,31491
TWO BRITISH CAPTAINS,ACT III,SCENE V,31494,31806
TWO BRITISH CAPTAINS,ACT III,SCENE VI,31809,31841
TWO BRITISH CAPTAINS,ACT III,SCENE VII,31844,31991
TWO BRITISH CAPTAINS,ACT III,SCENE VIII,31994,32033
TWO BRITISH CAPTAINS,ACT IV,SCENE I,32037,32061
TWO BRITISH CAPTAINS,ACT IV,SCENE II,32064,32836
TWO BRITISH CAPTAINS,ACT IV,SCENE III,32839,32917
TWO BRITISH CAPTAINS,ACT IV,SCENE IV,32920,33018
TWO BRITISH CAPTAINS,ACT V,SCENE I,33022,33060
TWO BRITISH CAPTAINS,ACT V,SCENE II,33062,33111
TWO BRITISH CAPTAINS,ACT V,SCENE III,33114,33263
TWO BRITISH CAPTAINS,ACT V,SCENE IV,33266,33560
TWO BRITISH CAPTAINS,ACT V,SCENE V,33563,34442
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT I,SCENE I,34516,34840
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT I,SCENE II,34843,35285
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT I,SCENE III,35288,35490
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT I,SCENE IV,35493,35670
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT I,SCENE V,35673,36019
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT II,SCENE I,36023,36233
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT II,SCENE II,36236,37169
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT III,SCENE I,37173,37467
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",ACT III,SCENE II,37470,38166
